Column,Attribute,attributeOf,Unit,Format,Time,Entity,Role,Relation,inRelationTo,wasDerivedFrom,wasGeneratedBy,hasPosition,Label,Comment
ROW_ID,sio:Identifier,??row,,,,,,,,,,1,Row ID,Row ID
SUBJECT_ID,sio:Identifier,??subject,,,,,,,,,,2,Subject ID,Subject ID
HADM_ID,sio:Identifier,??admission,,,,,,,??hospital,,,3,Hospital Admission ID,Hospital Admission ID
ICUSTAY_ID,sio:Identifier,??icustay,,,,,,,,,,,,
STARTTIME,sio:TimeInstant,??start,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,,,
ENDTIME,sio:TimeInstant,??end,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,,,
ITEMID,sio:Identifier,??item,,,,,,,,,,,,
VALUE,,,,,,,,,,,,,,
VALUEUOM,,,,,,,,,,,,,,
LOCATION,,,,,,,,,,,,,,
LOCATIONCATEGORY,,,,,,,,,,,,,,
STORETIME,sio:TimeInstant,??storeevent,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,,,
CGID,sio:Identifier,??cg,,,,,,,,,,2,CGID,Care Giver ID
ORDERID,sio:Identifier,,,,,,,,,,,,,
LINKORDERID,sio:Identifier,,,,,,,,,,,,,
ORDERCATEGORYNAME,,,,,,,,,,,,,,
SECONDARYORDERCATEGORYNAME,,,,,,,,,,,,,,
ORDERCATEGORYDESCRIPTION,,,,,,,,,,,,,,
ISOPENBAG,,,,,,,,,,,,,,
CONTINUEINNEXTDEPT,,,,,,,,,,,,,,
CANCELREASON,,,,,,,,,,,,,,
STATUSDESCRIPTION,,,,,,,,,,,,,,
COMMENTS_EDITEDBY,,,,,,,,,,,,,,
COMMENTS_CANCELEDBY,,,,,,,,,,,,,,
COMMENTS_DATE,sio:TimeInstant,,,YYYY-MM-Ddhh:mm:ss^^xsd:dateTime,,,,,,,,,,
??hospital,,,,,,"ncit:C16696, envo:00002173, obi:0000844",,,,,,,Hospital,
??subject,,,,,,sio:Human,sio:SubjectRole,,,,,,Subject,
??row,,,,,,sio:Row,,,,,,,Row,
??admission,,,,,,ncit:C25385,,,,,,,Admission,
??cg,,,,,,sio:MedicalPractitioner,,,,,,,Care Giver,
??icustay,,,,,,,,,,,,,,
??start,,,,,,,,,,,,,,
??end,,,,,,,,,,,,,,
??item,,,,,,,,,,,,,,
??storeevent,,,,,,,,,,,,,,
